gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3069969315	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/008c5c09-51e0-410d-8d6c-c078ab84096b_image.jpg										© All rights reserved	Helge Berge
3069964389	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/26591c37-2ea6-46ed-808b-fb2454d79419_image.jpg										© All rights reserved	Jørgen Lønø
3069964389	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/1a66375b-29dd-4f29-9879-d94701bf38f7_image.jpg										© All rights reserved	Jørgen Lønø
3069964389	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/8c0ab754-a296-4eee-bde5-387067063789_image.jpg										© All rights reserved	Jørgen Lønø
3069964389	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/4fa2ae3e-0696-4f8e-afea-59be10ab0d55_image.jpg										© All rights reserved	Jørgen Lønø
3069964389	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/847750d9-f00b-4f78-8fae-f63f69f60904_image.jpg										© All rights reserved	Jørgen Lønø
3067329572	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/e103f010-62a4-46d4-97f7-67953a91bf34_image.jpg										© All rights reserved	Helga Saksen  Hammer
3057081470	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/3/fef13405-0555-4e18-940e-33598b27e559_image.jpg										© All rights reserved	Annbjørg Backer
3057081470	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/3/c8ccc50c-4434-4371-8218-7455e2e2d594_image.jpg										© All rights reserved	Annbjørg Backer
3050737377	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2020/4/9dba106c-ab09-4479-a588-6c89b33a59da_image.jpg										© All rights reserved	Arnt Stavne
3050737377	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2020/4/0012c2ca-fc33-48e4-b3f9-d4777c8cd884_image.jpg										© All rights reserved	Arnt Stavne
3050699438	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2020/4/ab1bc733-42ed-47c8-be02-77d539f8e7a9_image.jpg										© All rights reserved	Arnt Stavne
3050699438	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2020/4/d3f470b6-8f8d-4e4d-ad49-63f4dedc9453_image.jpg										© All rights reserved	Arnt Stavne
3050602459	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/3/803d2d3e-1a64-4d45-8bee-92b981f7b1d3_image.jpg										© All rights reserved	Øyvind Nyvold Larsen
3050567455	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/3/a3410e43-d7e7-4d5a-a58e-7a167cffefb5_image.jpg										© All rights reserved	Eli Moen
3050556351	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/3/11030604-a6cd-4aff-8e60-f8a0c76efbb6_image.jpg										© All rights reserved	Trond-Arvid  Isaksen
3045422324	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2017/5/146ab15f-0e63-4663-ad68-858c2f7b706c_image.jpg										© All rights reserved	Kjetil Vevatne
3037200445	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/2/11866b79-f793-402a-9159-1503ac4a5e2b_image.jpg										© All rights reserved	Per Furuseth
3037191571	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/2/65554df1-a76a-4e95-a528-c6dcf2b86bc1_image.jpg										© All rights reserved	Reidar Hindrum
3037142545	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/2/007a1c51-f527-48df-90fb-a1375401797f_image.jpg										© All rights reserved	Øystein Folden
3037140317	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/2/97ef2c59-948a-4e78-817a-9fa5ec3b997b_image.jpg			1 av flere....							© All rights reserved	Kjell A. Kristiansen
3034434355	StillImage	image/png	https://www.xeno-canto.org/sounds/uploaded/LCSITXRCXL/ffts/XC401936-large.png			Sonogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stichting Xeno-canto voor Natuurgeluiden
3034434355	Sound	audio/mpeg	https://www.xeno-canto.org/sounds/uploaded/LCSITXRCXL/XC401936-Black%20grouse%20male%20lekking.mp3			68 s				Karl-Birger Strann			http://creativecommons.org/licenses/by-nc-sa/4.0/	Karl-Birger Strann
3031738904	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/110178124/original.jpeg?1610698691	https://www.inaturalist.org/photos/110178124					2018-07-08T17:36:12Z	Jan Vršovský		iNaturalist	http://creativecommons.org/licenses/by-sa/4.0/	Jan Vršovský
3027899440	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/1/3cc9a4a0-3bdb-485f-bf5c-a8db70b2e374_image.jpg										© All rights reserved	Helge Kapelrud
3027899440	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/1/96267a4e-e69e-4ba5-99f0-be6f151e7f3b_image.jpg										© All rights reserved	Helge Kapelrud
3027899440	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/1/e2623cff-c690-4307-a212-aedea5ccc5ac_image.jpg										© All rights reserved	Helge Kapelrud
